Id;Description;Serial;Date;Parent_Id;Parent_description;Has_image;Downloadable;Main_url;Media_url
82451345;Sample description798;106-EAA;2018/June/12;91277661;Sample description807;false;false;http://main.url.com;http://media.url.com
55844928;Sample description315;398-BJF;2018/June/12;99215097;Sample description770;false;false;http://main.url.com;http://media.url.com
51209741;Sample description126;421-DHB;2018/June/12;82123394;Sample description805;true;true;http://main.url.com;http://media.url.com
17201656;Sample description612;960-CFJ;2018/June/12;50606903;Sample description858;false;true;http://main.url.com;http://media.url.com
71831807;Sample description857;868-FBD;2018/June/12;90884215;Sample description390;true;false;http://main.url.com;http://media.url.com
43729288;Sample description634;891-HHB;2018/June/12;24520670;Sample description764;false;false;http://main.url.com;http://media.url.com
82968974;Sample description81;680-BIB;2018/June/12;133765;Sample description392;true;true;http://main.url.com;http://media.url.com
71727078;Sample description150;432-EAJ;2018/June/12;2767652;Sample description659;false;false;http://main.url.com;http://media.url.com
27608814;Sample description566;993-EGI;2018/June/12;20453749;Sample description882;true;false;http://main.url.com;http://media.url.com
32501035;Sample description271;558-IHH;2018/June/12;35047380;Sample description497;true;true;http://main.url.com;http://media.url.com
51100854;Sample description455;912-AJE;2018/June/12;85471129;Sample description576;true;false;http://main.url.com;http://media.url.com
19502590;Sample description579;860-DAI;2018/June/12;48836017;Sample description429;true;false;http://main.url.com;http://media.url.com
80511398;Sample description428;481-JIF;2018/June/12;26251307;Sample description788;true;false;http://main.url.com;http://media.url.com
3713100;Sample description598;550-IJD;2018/June/12;5961512;Sample description873;false;false;http://main.url.com;http://media.url.com
67430954;Sample description683;775-GBG;2018/June/12;94888604;Sample description832;true;true;http://main.url.com;http://media.url.com
76838258;Sample description949;69-GGA;2018/June/12;38861624;Sample description875;false;false;http://main.url.com;http://media.url.com
26438865;Sample description56;950-JGJ;2018/June/12;21046338;Sample description619;true;false;http://main.url.com;http://media.url.com
31941809;Sample description595;439-JJF;2018/June/12;15257156;Sample description13;false;false;http://main.url.com;http://media.url.com
5154825;Sample description116;183-GDD;2018/June/12;68542243;Sample description275;true;true;http://main.url.com;http://media.url.com
60565717;Sample description143;671-GAF;2018/June/12;20492829;Sample description756;false;false;http://main.url.com;http://media.url.com
91571428;Sample description572;339-ECJ;2018/June/12;47858003;Sample description895;true;true;http://main.url.com;http://media.url.com
30554596;Sample description884;826-IJJ;2018/June/12;24091431;Sample description961;false;true;http://main.url.com;http://media.url.com
18741957;Sample description199;887-CGA;2018/June/12;65576552;Sample description997;false;true;http://main.url.com;http://media.url.com
20229415;Sample description526;194-ABJ;2018/June/12;32631969;Sample description73;false;false;http://main.url.com;http://media.url.com
7861704;Sample description219;703-EEC;2018/June/12;2866088;Sample description105;true;false;http://main.url.com;http://media.url.com
8669864;Sample description927;226-HCI;2018/June/12;17711421;Sample description47;true;false;http://main.url.com;http://media.url.com
